tag,DP_OPT  Tag,eqpt,Equipment,MIN,MAX,description
06D-J4503,DP_OPT_PWR_RSC_GEN_R4_STG_MW,STG R4, input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0] ,30,90,RSCOGEN R4 STG Power Generation in MW
06C-J1345A,DP_OPT_PWR_RS_GEN_R2_STG_MW,STG R2, input_df['DP_OPT_RUNNING_STATUS_STG_R2'].values[0] ,13,40,STG R2 Power Generation in MW
06B-FAHL2001A,DP_OPT_600STM_RS_CONS_R2_STG_KLBH,STG R2, input_df['DP_OPT_RUNNING_STATUS_STG_R2'].values[0] ,50,330,600 Steam Consumption in STG R2 in KLBH
06B-J1078A,DP_OPT_PWR_RS_GEN_R3_STG_MW,STG R3, input_df['DP_OPT_RUNNING_STATUS_STG_R3'].values[0] ,3,40,STG R3 Power Generation in MW
06B-FAHL3708A,DP_OPT_600STM_RS_CONS_R3_STG_KLBH,STG R3, input_df['DP_OPT_RUNNING_STATUS_STG_R3'].values[0] ,12,350,600 Steam Consumption in STG R3 in KLBH
06B-T3152,DP_OPT_CONDOL_TEMP_RS_R3_STG_F,STG R3, input_df['DP_OPT_RUNNING_STATUS_STG_R3'].values[0] ,65,140,STG R3 COND Steam Outlet Temp
06C-F3400.PV,DP_OPT_BFW_FLOW_PHC_C2_HRSG_LBH,GT Boiler C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,0,600000,GT C2 BFW Inlet Flow
06C-F4019.PV,DP_OPT_175_STMOL_FLOW_PHC_C3_STG_LBH,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,0,900000,STG C3 175# Steam Extraction Flow
06C-F5000.PV,DP_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,GT Boiler C1, input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0] ,100000,750000,Boiler C1 NG Flow
06C-FC0122.VP,DP_OPT_LPBFW_OPENING_PHC_C4_HRSG_PRCNT,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,30,70,HRSG C4 LP BFW Flow
06C-FX3618,DP_OPT_1250STM_PHC_CONS_C3_STG_LBH,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,600000,1400000,STG C3 1250# Steam Inlet Flow
06C-T2050,DP_OPT_BFW_TEMP_PHC_C1_HRSG_F,GT Boiler C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,180,250,Boiler C1 BFW Inlet Temp
06C-TI2253A.MEAS,DP_OPT_DISC_TEMP_PHC_C4_GT_F,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,500,700,GT C4 HRSG C4 Comp Turbine Discharge Temp
